,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.745,0.82,0.67,0.7247619047619047,42,4.0,5
C2(元気が出る),0.58,0.86,0.2,0.3096969696969697,100,10.0,5
C3(切ない),0.6869458128078818,0.6816869529772756,0.7295566502463056,0.6992942612942612,282,28.0,5
C4(激しい),0.7066666666666668,0.769090909090909,0.6333333333333333,0.680952380952381,98,10.0,5
C5(滑稽な),0.5320833333333332,0.7333333333333333,0.07666666666666666,0.13622291021671826,158,16.0,5
C6(かわいい),0.6691666666666667,0.8396753246753248,0.4308333333333333,0.5534219114219114,154,15.0,5
Valence,0.5537878787878788,0.8666666666666668,0.14393939393939392,0.2399267399267399,112,11.0,5
Arousal,0.6673160173160173,0.9484210526315788,0.3722943722943723,0.4788913043478261,216,22.0,5
