,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.745,0.8433333333333334,0.63,0.6792063492063491,42.0,4.0,5.0
C2(元気が出る),0.7899999999999998,0.9044444444444444,0.6599999999999999,0.7352024291497976,100.0,10.0,5.0
C3(切ない),0.8007389162561577,0.7845004495433077,0.8435960591133004,0.8115584684917841,282.0,28.0,5.0
C4(激しい),0.5833333333333333,0.7314285714285713,0.3688888888888889,0.454983715974428,98.0,10.0,5.0
C5(滑稽な),0.6383333333333333,0.7562703962703963,0.4283333333333333,0.5351782317299558,158.0,16.0,5.0
C6(かわいい),0.7341666666666666,0.8999134199134199,0.5199999999999999,0.6517340694731999,154.0,15.0,5.0
Valence,0.6166666666666666,0.6398412698412699,0.5348484848484849,0.5798412698412697,112.0,11.0,5.0
Arousal,0.5651515151515152,0.9714285714285712,0.13982683982683985,0.23275999362955885,216.0,22.0,5.0
平均,0.684173803925959,0.8163950570254143,0.5156867007513559,0.5850580659370429,145.25,14.5,5.0
