,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.62,0.7333333333333333,0.53,0.5888888888888888,42.0,4.0,5.0
C2(元気が出る),0.5900000000000001,1.0,0.18,0.2937062937062937,100.0,10.0,5.0
C3(切ない),0.7233990147783251,0.7074341736694678,0.7810344827586206,0.7377812495151206,282.0,28.0,5.0
C4(激しい),0.6755555555555556,0.6916666666666667,0.6155555555555556,0.6502923976608187,98.0,10.0,5.0
C5(滑稽な),0.5191666666666667,0.7333333333333333,0.06416666666666666,0.11503267973856207,158.0,16.0,5.0
C6(かわいい),0.5391666666666667,0.8333333333333333,0.10416666666666666,0.18316993464052286,154.0,15.0,5.0
Valence,0.5553030303030303,0.7666666666666666,0.1621212121212121,0.2621978021978022,112.0,11.0,5.0
Arousal,0.5889610389610389,0.9833333333333332,0.18744588744588747,0.2815072463768116,216.0,22.0,5.0
平均,0.6014439966164105,0.8061376050420168,0.3280613089018261,0.3890720615906026,145.25,14.5,5.0
