,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.79,0.82,0.77,0.7880952380952381,42.0,4.0,5.0
C2(元気が出る),0.67,0.95,0.38,0.5142857142857143,100.0,10.0,5.0
C3(切ない),0.7447044334975369,0.7593030213719869,0.73128078817734,0.7412607182997479,282.0,28.0,5.0
C4(激しい),0.7977777777777778,0.9714285714285716,0.6155555555555555,0.7415732959850606,98.0,10.0,5.0
C5(滑稽な),0.7095833333333333,0.7674458874458875,0.6075,0.674,158.0,16.0,5.0
C6(かわいい),0.8379166666666669,0.9692307692307692,0.7008333333333333,0.8109304871373837,154.0,15.0,5.0
Valence,0.7212121212121212,0.786969696969697,0.6060606060606061,0.6774031335022047,112.0,11.0,5.0
Arousal,0.804978354978355,0.9846153846153848,0.6194805194805195,0.7599042893160541,216.0,22.0,5.0
平均,0.7595215859332239,0.8761241663827871,0.6288388503259192,0.7134316095776755,145.25,14.5,5.0
