動画ID,あぶない,あらい,いい,うい,うまい,うるさい,うれしい,ええ,おいしい,おおい,おかしい,おもい,おもしろい,おもたい,おもろい,かっこいい,かっこいー,かっこよい,からい,かるい,かわいい,かわゆい,くい,くさい,こい,こわい,すい,すごい,すっごい,すばらしい,せつない,っぽい,つらい,でかい,とおい,ない,なつかしい,なるい,はやい,ひどい,ほしい,ぽい,まるい,やすい,やばい,よい,わるい,わろい,イイ,カッコイイ,上手い,低い,優しい,凄い,切ない,危ない,可愛い,多い,大きい,嬉しい,小さい,少ない,弱い,強い,怖い,恋しい,悪い,悲しい,惜しい,懐かしい,新しい,早い,明るい,格好いい,楽しい,欲しい,気持ちいい,汚い,深い,激しい,無い,熱い,珍しい,痛い,眩しい,短い,素晴らしい,美しい,美味しい,良い,赤い,軽い,近い,遅い,重い,長い,難しい,面白い,高い,黒い
sm10385393,0.0,0.0,0.22842563854805534,0.05196764174358164,0.0,0.0,0.0,0.4413759556590994,0.0,0.1467708588093645,0.07311934327465204,0.3197895777691551,0.0,0.09228393013815339,0.0,0.614670670432708,0.0,0.12885131605042677,0.0,0.0,0.03276179786132518,0.0,0.0,0.0,0.16159901608191846,0.0,0.0,0.09460874731273258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393042683315632,0.0,0.0,0.0,0.0,0.04876654002854991,0.11189930494637074,0.0,0.0,0.12458940899432458,0.041867467709421104,0.0,0.0,0.05022348824754684,0.1351380442330075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06995384054842478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05730428811043069,0.0,0.0,0.0,0.087981296372023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334147974204763,0.0,0.0,0.0,0.0,0.0
sm10393864,0.0,0.0,0.4402430376771405,0.10405906514383427,0.0950805643953025,0.0,0.0,0.010043218455900732,0.2732939376607507,0.0,0.0,0.020010651934618106,0.0,0.0,0.023098458905827655,0.009615667375912879,0.0,0.0,0.0,0.0,0.13120326201070387,0.04217734494573763,0.03292224890616769,0.0,0.026965245387088634,0.0,0.014960676268656768,0.047360710768678024,0.0,0.0,0.0,0.011047926708702202,0.0,0.0,0.0,0.118053233171294,0.09922754831282835,0.0,0.0,0.0,0.01220615462673228,0.0,0.0,0.04449405578880892,0.041579262889339066,0.03143799730666134,0.0,0.0,0.05028330187743745,0.0,0.0,0.0,0.0,0.0,0.2325425480783794,0.0,0.13623132166219912,0.014895624558563516,0.0,0.017104061596834228,0.0,0.0,0.6982307981090421,0.0,0.0,0.0,0.0,0.022271178394861715,0.0,0.017202535926173688,0.0,0.016548389796515694,0.0,0.0,0.019529730329130277,0.0,0.0,0.0,0.07119169550174244,0.0,0.055653795486697036,0.0,0.0,0.04404303881918052,0.028167101374515686,0.0,0.0,0.0,0.2100234705580015,0.19383942870712084,0.0,0.0,0.0,0.0,0.01672729637560865,0.021124990191075242,0.0,0.01740507695844587,0.014705070800368888,0.0
sm10443985,0.0,0.0,0.0741984696130623,0.0,0.058757814364169374,0.0,0.0,0.3475640251675569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709457799493445,0.0,0.0,0.0,0.058323865922065087,0.8952104449164573,0.0,0.10243777518778646,0.0,0.0,0.0,0.0,0.10124754051899323,0.0,0.0,0.0851135210565725,0.08584879003316913,0.0,0.0,0.0,0.052802050613965576,0.0,0.0,0.0,0.0,0.045332068827872475,0.0,0.0,0.0,0.0,0.07357137440259662,0.0,0.0,0.0,0.0,0.0,0.045332068827872475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07574263474744686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03645744312413611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529183289937214,0.0,0.0
sm10445286,0.0,0.0,0.08537463620735153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8615049498561651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3536024867960933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25254085831829265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21417616611018248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1258465690736584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10446457,0.0,0.1258201064197434,0.1415331386762157,0.03219929029123799,0.01120801807919135,0.0,0.015990288251282254,0.074584834543237,0.0,0.010104402001229106,0.04530494132526198,0.0,0.0,0.019059790259462916,0.0,0.0,0.0,0.0,0.0,0.0,0.9134684045355606,0.10440843932197903,0.0,0.0,0.022250485344855242,0.015523714450703,0.0,0.0,0.0,0.0,0.0,0.05469745840489543,0.0,0.0,0.0,0.016235353426750688,0.01637560554592735,0.0,0.0,0.0,0.020143919385149475,0.011555518275308818,0.0,0.0,0.0,0.0,0.0,0.0,0.020745738736176415,0.0,0.0,0.01694780100510527,0.0,0.0,0.0,0.0,0.31994140936071863,0.0,0.0,0.028226976349348246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069542355528047425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024267901711388287,0.0
sm10446708,0.0,0.0,0.7285855788064046,0.0,0.10818138267667796,0.0,0.0,0.079989268700204,0.0,0.2925873705477169,0.0,0.0,0.0,0.0,0.0,0.38292017884554674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18860232086670622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354373152359525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007935425063399,0.0,0.0,0.08346270089283812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20136980835848406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10453745,0.0,0.0,0.0601624548043836,0.6843585767258099,0.0,0.0,0.20391302063065864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023639764375017,0.0,0.0,0.0,0.0,0.43143803726911095,0.2958773740508861,0.0,0.0,0.0,0.0,0.15742547145003175,0.083059772689865,0.0,0.17231054649946104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11027000514708558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11027000514708558,0.1567409571977238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317240218855448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08868252751077328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10533832,0.0,0.0,0.6896649354920438,0.0553768995128456,0.0,0.05938270349456732,0.02750037586740387,0.12827229576569188,0.0,0.17377726316276107,0.0,0.0,0.0,0.032779358811563755,0.0,0.23197746702568747,0.0,0.0,0.0,0.0,0.05818514262453956,0.0,0.0,0.0,0.05740015757689167,0.05339590825929583,0.12738547904169154,0.2352359559420341,0.0,0.06971508901193474,0.0,0.015678273394119837,0.0,0.0,0.06321070602483646,0.22337474575043237,0.05632610250577982,0.0,0.06735277999192814,0.0,0.12125352028688725,0.03974676264990586,0.0,0.021047387124098458,0.36878585248010787,0.10409961096876783,0.0,0.0,0.08919720581742205,0.0,0.0,0.0,0.0,0.03591876011963672,0.0,0.0,0.0,0.1691087787694117,0.033214675148755764,0.048545244901707696,0.0,0.02750037586740387,0.0,0.0,0.049695370280631555,0.0,0.049399595452650394,0.0,0.0,0.07323710640937132,0.0,0.023484060521316925,0.0,0.0,0.0,0.08141819788563336,0.0,0.0,0.0,0.0,0.026326370068258345,0.0,0.0,0.0,0.0,0.10250373886106275,0.06698373485352602,0.024412368803123773,0.0,0.10764013738247152,0.0,0.0,0.033214675148755764,0.0,0.02373794944844175,0.08993634201145526,0.0,0.0,0.0834727189515017,0.0
sm10543519,0.0,0.0,0.23338103554131748,0.026547506054592426,0.0277221881407381,0.0,0.03955077304431538,0.04099554842582278,0.0,0.0,0.03735278614083716,0.0,0.0,0.0,0.0,0.01962516096243207,0.0,0.0,0.0,0.0,0.05020878365277848,0.028694045220462896,0.0,0.0,0.0,0.0,0.0,0.12888154797017837,0.0,0.0,0.0,0.045096680549195724,0.0,0.8988993611262508,0.045454511240381405,0.020078461644497655,0.0,0.0,0.0,0.0,0.024912233328912764,0.0,0.0,0.03027014740943063,0.0,0.021387863971017787,0.0,0.0,0.025656510736302054,0.0,0.03471128912863705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2866141360866678,0.03490864948074988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04913996001890991,0.07021926265021791,0.0,0.0,0.0,0.0,0.0,0.058547430074740954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03211178527917947,0.0,0.0,0.0,0.0,0.0,0.0477690226811113,0.04714295495979077,0.03413968797006781,0.04311519072177674,0.0,0.0,0.0,0.0
sm10565041,0.0,0.0,0.37876349421906774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2123364343779748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3486117694204913,0.0,0.0,0.0,0.24396407164326547,0.0,0.0,0.0,0.21724096742690946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22954185291659313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289302430033462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240264036180979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38434482360406963,0.0,0.0
