,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.645,0.7333333333333333,0.58,0.6247619047619047,42.0,4.0,5.0
C2(元気が出る),0.53,0.7666666666666667,0.12,0.2034965034965035,100.0,10.0,5.0
C3(切ない),0.6704433497536946,0.7091190668402063,0.5972906403940886,0.6375902135640057,282.0,28.0,5.0
C4(激しい),0.6733333333333333,0.6810389610389611,0.6755555555555556,0.6728851540616247,98.0,10.0,5.0
C5(滑稽な),0.5387500000000001,0.7,0.09,0.1568627450980392,158.0,16.0,5.0
C6(かわいい),0.5262499999999999,0.8333333333333333,0.07833333333333332,0.14019607843137255,154.0,15.0,5.0
Valence,0.5545454545454545,0.8,0.16212121212121214,0.2624908424908425,112.0,11.0,5.0
Arousal,0.5322510822510822,0.9333333333333332,0.07402597402597402,0.13557312252964426,216.0,22.0,5.0
平均,0.5838216524854456,0.7696030868182293,0.2971658394287704,0.3542320705542421,145.25,14.5,5.0
