動画ID,あおい,あぶない,あらい,あわい,いい,うい,うまい,うるさい,うれしい,ええ,おいしい,おおい,おかしい,おもい,おもしろい,おもたい,おもろい,かっこいい,かっこいー,かっこよい,からい,かるい,かわいい,かわゆい,くい,くさい,こい,こわい,すい,すごい,すっごい,すばらしい,せつない,っぽい,つらい,でかい,とおい,ない,なつかしい,なるい,はやい,ひどい,ほしい,ぽい,まるい,やすい,やばい,ゆるい,よい,わるい,わろい,イイ,カッコイイ,上手い,丸い,低い,優しい,凄い,切ない,危ない,可愛い,多い,大きい,大人っぽい,嬉しい,弱い,強い,怖い,恋しい,悪い,悲しい,憎い,懐かしい,新しい,早い,明るい,格好いい,楽しい,欲しい,汚い,深い,激しい,無い,熱い,珍しい,痛い,眩しい,短い,素晴らしい,美しい,美味しい,良い,赤い,軽い,近い,酷い,重い,長い,面白い,高い
sm10445286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sm10446457,0,0,7,0,23,3,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,133,8,0,0,4,1,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sm10446708,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
sm10453745,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10533832,0,0,0,0,58,2,0,2,0,7,0,7,0,0,0,1,0,14,0,0,0,0,5,0,0,0,3,2,7,16,0,2,0,0,0,0,2,7,2,0,2,0,5,2,0,0,21,0,3,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,2,1,0,4,0,0,0,0,1,3,0,3
sm10543519,0,0,0,0,12,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,8,0,0,0,1,0,20,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
sm10565041,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10628168,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10626762,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10632158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
