,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.655,0.6799999999999999,0.64,0.6417460317460317,42.0,4.0,5.0
C2(元気が出る),0.8299999999999998,0.8800000000000001,0.78,0.8194533571004159,100.0,10.0,5.0
C3(切ない),0.7299261083743842,0.7447271546536253,0.7302955665024631,0.733032258064516,282.0,28.0,5.0
C4(激しい),0.6622222222222223,0.6619949494949495,0.7088888888888889,0.6712845049687154,98.0,10.0,5.0
C5(滑稽な),0.58875,0.7570346320346322,0.29,0.4001567929485549,158.0,16.0,5.0
C6(かわいい),0.76,0.977777777777778,0.5325,0.6803612040133779,154.0,15.0,5.0
Valence,0.6401515151515152,0.6916666666666667,0.5151515151515151,0.5869998525726079,112.0,11.0,5.0
Arousal,0.5417748917748918,0.9333333333333332,0.09264069264069263,0.1655731225296443,216.0,22.0,5.0
平均,0.6759780921903767,0.7908168142451232,0.536184582897945,0.587325890492983,145.25,14.5,5.0
