,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.5700000000000001,0.8,0.24,0.36,42.0,4.0,5.0
C2(元気が出る),0.67,1.0,0.34,0.4923076923076923,100.0,10.0,5.0
C3(切ない),0.7086206896551724,0.7536228683597104,0.6598522167487685,0.6973205619412517,282.0,28.0,5.0
C4(激しい),0.8088888888888891,0.8434615384615386,0.78,0.7995901945827909,98.0,10.0,5.0
C5(滑稽な),0.5387500000000001,0.8,0.115,0.1968627450980392,158.0,16.0,5.0
C6(かわいい),0.6808333333333334,1.0,0.3616666666666665,0.5180544945250828,154.0,15.0,5.0
Valence,0.5787878787878787,0.9047619047619048,0.33939393939393936,0.3657051282051281,112.0,11.0,5.0
Arousal,0.6348484848484849,1.0,0.2696969696969697,0.4152544802867383,216.0,22.0,5.0
平均,0.6488411594392198,0.8877307889478943,0.388201224063293,0.4806369121183404,145.25,14.5,5.0
