,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.62,1.0,0.24,0.3866666666666666,42.0,4.0,5.0
C2(元気が出る),0.7700000000000001,0.8029942279942279,0.74,0.7629885766108676,100.0,10.0,5.0
C3(切ない),0.7444581280788178,0.7169558880462754,0.8374384236453203,0.7679482937708928,282.0,28.0,5.0
C4(激しい),0.7844444444444445,0.8164141414141414,0.7511111111111111,0.7741930584035848,98.0,10.0,5.0
C5(滑稽な),0.5316666666666666,0.9333333333333332,0.07666666666666666,0.13856209150326798,158.0,16.0,5.0
C6(かわいい),0.7791666666666667,0.8214574898785425,0.7649999999999999,0.7779579173493982,154.0,15.0,5.0
Valence,0.5621212121212121,0.6406060606060605,0.3606060606060606,0.4250038197097021,112.0,11.0,5.0
Arousal,0.5699134199134199,0.875,0.15844155844155844,0.2575394610387114,216.0,22.0,5.0
平均,0.6702213172364035,0.8258451426590726,0.4911579775588396,0.5363574856316364,145.25,14.5,5.0
