,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.865,0.95,0.78,0.8357142857142857,42.0,4.0,5.0
C2(元気が出る),0.64,1.0,0.28,0.4073426573426573,100.0,10.0,5.0
C3(切ない),0.733128078817734,0.7663087129588678,0.7229064039408868,0.7347094154076712,282.0,28.0,5.0
C4(激しい),0.8166666666666667,0.9277777777777778,0.6955555555555556,0.7867217062263502,98.0,10.0,5.0
C5(滑稽な),0.7150000000000001,0.7625423853752028,0.6558333333333334,0.6919555806512329,158.0,16.0,5.0
C6(かわいい),0.6483333333333334,1.0,0.2966666666666667,0.44498843015467066,154.0,15.0,5.0
Valence,0.65,0.6944444444444444,0.5681818181818181,0.6207936507936508,112.0,11.0,5.0
Arousal,0.5874458874458874,1.0,0.17489177489177488,0.2887417402409906,216.0,22.0,5.0
平均,0.7069467457829527,0.8876341650695366,0.5217544440712545,0.6013709333164385,145.25,14.5,5.0
