,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.8400000000000001,0.86,0.82,0.8325396825396826,42.0,4.0,5.0
C2(元気が出る),0.65,0.95,0.31999999999999995,0.4613553113553114,100.0,10.0,5.0
C3(切ない),0.7655172413793104,0.7781764094608045,0.7726600985221674,0.7678612731138937,282.0,28.0,5.0
C4(激しい),0.7866666666666666,0.8778571428571429,0.6755555555555555,0.7570588235294118,98.0,10.0,5.0
C5(滑稽な),0.5891666666666666,0.7701298701298701,0.3033333333333333,0.42153741842529024,158.0,16.0,5.0
C6(かわいい),0.6487499999999999,0.9666666666666666,0.3108333333333333,0.4662337662337663,154.0,15.0,5.0
Valence,0.731060606060606,0.7471794871794871,0.6939393939393941,0.7180952380952381,112.0,11.0,5.0
Arousal,0.6166666666666666,1.0,0.2333333333333333,0.3703106395520189,216.0,22.0,5.0
平均,0.7034784809299895,0.8687511970367464,0.5162068810021396,0.5993740191055766,145.25,14.5,5.0
