,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.625,0.9,0.29,0.4304761904761905,42.0,4.0,5.0
C2(元気が出る),0.71,0.938095238095238,0.46,0.5898567119155355,100.0,10.0,5.0
C3(切ない),0.7721674876847291,0.7806018518518518,0.7724137931034483,0.7746014904635594,282.0,28.0,5.0
C4(激しい),0.7977777777777777,0.9028571428571428,0.6755555555555555,0.7673529411764706,98.0,10.0,5.0
C5(滑稽な),0.6525000000000001,0.6691339869281047,0.6316666666666666,0.6443741302972803,158.0,16.0,5.0
C6(かわいい),0.8504166666666666,0.9590476190476189,0.7391666666666666,0.8235313567905337,154.0,15.0,5.0
Valence,0.5333333333333333,0.74,0.2121212121212121,0.3040823211875844,112.0,11.0,5.0
Arousal,0.6123376623376624,1.0,0.22467532467532467,0.3532166224580018,216.0,22.0,5.0
平均,0.6941916159750211,0.8612169798474947,0.5006999023486092,0.5859364705956445,145.25,14.5,5.0
