,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.865,0.9,0.82,0.8547619047619047,42.0,4.0,5.0
C2(元気が出る),0.8399999999999999,0.9527777777777778,0.72,0.8114895080839354,100.0,10.0,5.0
C3(切ない),0.7833743842364532,0.7638085453560983,0.8298029556650246,0.7937174027998107,282.0,28.0,5.0
C4(激しい),0.8388888888888889,0.8827777777777778,0.78,0.8245614035087719,98.0,10.0,5.0
C5(滑稽な),0.5895833333333333,0.6806349206349207,0.31833333333333336,0.4281773009599097,158.0,16.0,5.0
C6(かわいい),0.5583333333333333,0.95,0.12916666666666665,0.223562091503268,154.0,15.0,5.0
Valence,0.6787878787878787,0.698015873015873,0.6409090909090909,0.6628551311388841,112.0,11.0,5.0
Arousal,0.6854978354978355,0.9818181818181818,0.3805194805194805,0.5452298850574712,216.0,22.0,5.0
平均,0.7299332067597154,0.8512291345475786,0.5773414408866995,0.6430443284767444,145.25,14.5,5.0
