,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.62,0.75,0.34,0.43,42.0,4.0,5.0
C2(元気が出る),0.69,0.7291269841269841,0.7,0.6858128654970761,100.0,10.0,5.0
C3(切ない),0.7056650246305418,0.7121245421245421,0.6881773399014778,0.6991834602179431,282.0,28.0,5.0
C4(激しい),0.5900000000000001,0.6191880341880343,0.528888888888889,0.5562890175139469,98.0,10.0,5.0
C5(滑稽な),0.5387500000000001,0.8,0.115,0.1977984176126591,158.0,16.0,5.0
C6(かわいい),0.5645833333333333,0.82,0.16916666666666666,0.27126934984520124,154.0,15.0,5.0
Valence,0.5810606060606059,0.8333333333333333,0.2893939393939394,0.33282051282051284,112.0,11.0,5.0
Arousal,0.8012987012987013,0.7973975848712691,0.8151515151515151,0.8043871170887499,216.0,22.0,5.0
平均,0.6364197081653978,0.7576463098305203,0.455722293750311,0.49719509257451117,145.25,14.5,5.0
