,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.8400000000000001,0.86,0.82,0.8325396825396826,42.0,4.0,5.0
C2(元気が出る),0.6700000000000002,1.0,0.34,0.4816017316017316,100.0,10.0,5.0
C3(切ない),0.7368226600985222,0.7431640731640732,0.7660098522167487,0.7458507331965367,282.0,28.0,5.0
C4(激しい),0.8077777777777779,0.8918831168831168,0.7155555555555556,0.7888188608776844,98.0,10.0,5.0
C5(滑稽な),0.7333333333333333,0.773720397249809,0.6683333333333333,0.7071836007130126,158.0,16.0,5.0
C6(かわいい),0.6879166666666666,1.0,0.3758333333333333,0.5278888630551035,154.0,15.0,5.0
Valence,0.6416666666666666,0.6745726495726496,0.5681818181818181,0.612922305764411,112.0,11.0,5.0
Arousal,0.6469696969696971,0.9377777777777778,0.3125541125541125,0.4556550242925954,216.0,22.0,5.0
平均,0.720560850189083,0.8601397518309283,0.5708085006468627,0.6440576002550948,145.25,14.5,5.0
