,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.595,0.8,0.19,0.30666666666666664,42.0,4.0,5.0
C2(元気が出る),0.5800000000000001,0.8,0.24,0.3572427572427572,100.0,10.0,5.0
C3(切ない),0.7123152709359607,0.705999245852187,0.7665024630541872,0.7278272250267525,282.0,28.0,5.0
C4(激しい),0.7988888888888889,0.8365656565656566,0.76,0.7896014546169345,98.0,10.0,5.0
C5(滑稽な),0.5579166666666666,0.7733333333333332,0.19333333333333333,0.28299415204678363,158.0,16.0,5.0
C6(かわいい),0.8237500000000001,0.8198684210526315,0.8575000000000002,0.8308140066062266,154.0,15.0,5.0
Valence,0.5613636363636363,0.8,0.15909090909090912,0.26461538461538464,112.0,11.0,5.0
Arousal,0.7123376623376624,0.9022941970310392,0.5095238095238095,0.5837404551857068,216.0,22.0,5.0
平均,0.667696515649102,0.8047576067293559,0.4594938143752799,0.5179377627509015,145.25,14.5,5.0
