,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.72,0.85,0.54,0.6261904761904763,42.0,4.0,5.0
C2(元気が出る),0.71,0.9111111111111112,0.5,0.6037112010796222,100.0,10.0,5.0
C3(切ない),0.7620689655172415,0.7401145710273499,0.8231527093596058,0.7762395235400328,282.0,28.0,5.0
C4(激しい),0.6833333333333333,0.9666666666666668,0.38666666666666666,0.5392857142857144,98.0,10.0,5.0
C5(滑稽な),0.5316666666666666,0.9,0.08833333333333332,0.15650326797385622,158.0,16.0,5.0
C6(かわいい),0.7262500000000001,0.9222222222222222,0.5041666666666667,0.637734335839599,154.0,15.0,5.0
Valence,0.6318181818181817,0.7505555555555555,0.4409090909090908,0.5035964912280703,112.0,11.0,5.0
Arousal,0.6341991341991342,0.9464285714285714,0.287012987012987,0.43856230614851305,216.0,22.0,5.0
平均,0.6749170351918197,0.8733873372514347,0.4462801817435438,0.5352279145357356,145.25,14.5,5.0
