,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.79,0.8033333333333333,0.77,0.7746031746031746,42.0,4.0,5.0
C2(元気が出る),0.75,0.9416666666666668,0.5399999999999999,0.66492673992674,100.0,10.0,5.0
C3(切ない),0.793472906403941,0.7726190476190475,0.835960591133005,0.8024993943309375,282.0,28.0,5.0
C4(激しい),0.8388888888888889,0.9242063492063493,0.7377777777777778,0.818094255245958,98.0,10.0,5.0
C5(滑稽な),0.6466666666666667,0.6896825396825397,0.5316666666666666,0.5945421245421245,158.0,16.0,5.0
C6(かわいい),0.8829166666666668,0.9422222222222224,0.8291666666666666,0.8726987138941599,154.0,15.0,5.0
Valence,0.731060606060606,0.7547474747474747,0.7136363636363636,0.7273642299729255,112.0,11.0,5.0
Arousal,0.6487012987012987,1.0,0.2974025974025974,0.4558474730888523,216.0,22.0,5.0
平均,0.7602133791735085,0.8535597041847043,0.6569513329103847,0.713822013200609,145.25,14.5,5.0
