,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.5700000000000001,0.7,0.19,0.2933333333333333,42.0,4.0,5.0
C2(元気が出る),0.73,0.7683116883116884,0.68,0.7147338935574231,100.0,10.0,5.0
C3(切ない),0.6843596059113299,0.7001558890424213,0.6958128078817734,0.6864373877488632,282.0,28.0,5.0
C4(激しい),0.6533333333333332,0.6789393939393941,0.6088888888888888,0.6305004936583885,98.0,10.0,5.0
C5(滑稽な),0.5383333333333333,0.8833333333333332,0.1025,0.17585139318885448,158.0,16.0,5.0
C6(かわいい),0.5583333333333333,0.8,0.11666666666666665,0.1980994152046784,154.0,15.0,5.0
Valence,0.5174242424242423,0.8,0.12424242424242425,0.20039215686274514,112.0,11.0,5.0
Arousal,0.6075757575757577,0.8007518796992482,0.2995670995670996,0.39989824989825,216.0,22.0,5.0
平均,0.6074199507389163,0.7664365230407607,0.3522097359058566,0.412405790431567,145.25,14.5,5.0
