,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.8099999999999999,0.8742857142857143,0.8099999999999999,0.8102164502164502,42.0,4.0,5.0
C2(元気が出る),0.72,0.935,0.4800000000000001,0.5906493506493506,100.0,10.0,5.0
C3(切ない),0.7655172413793103,0.7696204758354859,0.7655172413793103,0.7654487127167464,282.0,28.0,5.0
C4(激しい),0.6433333333333333,0.6612121212121213,0.6355555555555555,0.6383333333333334,98.0,10.0,5.0
C5(滑稽な),0.5254166666666666,0.7999999999999999,0.08833333333333332,0.15613175094599244,158.0,16.0,5.0
C6(かわいい),0.7208333333333334,0.9436363636363636,0.48,0.6276438923395447,154.0,15.0,5.0
Valence,0.6356060606060605,0.7325396825396825,0.44696969696969696,0.5462184873949579,112.0,11.0,5.0
Arousal,0.5515151515151515,1.0,0.10303030303030304,0.1751866490996926,216.0,22.0,5.0
平均,0.6715277233542319,0.8395367946886709,0.47617576628352487,0.5387285783370085,145.25,14.5,5.0
