,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.8400000000000001,0.91,0.77,0.8158730158730159,42.0,4.0,5.0
C2(元気が出る),0.6900000000000001,0.96,0.4,0.5244028520499108,100.0,10.0,5.0
C3(切ない),0.7971674876847292,0.772983870967742,0.8433497536945813,0.8065030196766024,282.0,28.0,5.0
C4(激しい),0.8,0.875,0.7,0.7722222222222221,98.0,10.0,5.0
C5(滑稽な),0.5708333333333333,0.6777777777777778,0.30416666666666664,0.4153939393939394,158.0,16.0,5.0
C6(かわいい),0.7137499999999999,0.9595959595959596,0.4533333333333333,0.5993900134952767,154.0,15.0,5.0
Valence,0.696969696969697,0.7497619047619047,0.5893939393939394,0.6572977899293689,112.0,11.0,5.0
Arousal,0.6805194805194804,0.977777777777778,0.37056277056277054,0.5363589173155358,216.0,22.0,5.0
平均,0.723654999813405,0.8603621613601452,0.5538508079564114,0.640930221244484,145.25,14.5,5.0
