,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.765,0.95,0.58,0.6776190476190476,42.0,4.0,5.0
C2(元気が出る),0.63,0.9714285714285716,0.28,0.4031811325928973,100.0,10.0,5.0
C3(切ない),0.7620689655172415,0.7467837425732162,0.8160098522167487,0.7713246753246754,282.0,28.0,5.0
C4(激しい),0.8166666666666668,0.9136363636363636,0.7155555555555555,0.7916900093370682,98.0,10.0,5.0
C5(滑稽な),0.70875,0.7630812324929973,0.6191666666666666,0.6791688311688312,158.0,16.0,5.0
C6(かわいい),0.8304166666666667,0.9679487179487178,0.6866666666666668,0.7970122081816234,154.0,15.0,5.0
Valence,0.6598484848484848,0.6977777777777778,0.5893939393939394,0.6356739675275144,112.0,11.0,5.0
Arousal,0.7543290043290044,0.98,0.5181818181818181,0.6737457398747722,216.0,22.0,5.0
平均,0.740884973503508,0.8738320507322055,0.6006218123351743,0.6786769514533038,145.25,14.5,5.0
