,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.67,0.7833333333333333,0.48,0.5680952380952381,42.0,4.0,5.0
C2(元気が出る),0.58,0.86,0.2,0.3096969696969697,100.0,10.0,5.0
C3(切ない),0.6834975369458128,0.6798627198627198,0.7226600985221674,0.6938558989436714,282.0,28.0,5.0
C4(激しい),0.7055555555555555,0.7569930069930071,0.6711111111111109,0.6766045548654244,98.0,10.0,5.0
C5(滑稽な),0.5195833333333333,0.6757575757575758,0.21,0.22006340706031108,158.0,16.0,5.0
C6(かわいい),0.66875,0.851948051948052,0.4308333333333333,0.554186682882335,154.0,15.0,5.0
Valence,0.5537878787878788,0.8666666666666668,0.14393939393939392,0.2399267399267399,112.0,11.0,5.0
Arousal,0.6435064935064935,0.9833333333333332,0.2965367965367965,0.39566940853897375,216.0,22.0,5.0
平均,0.6280850997661342,0.807236835986836,0.39438509168035024,0.45726236250120783,145.25,14.5,5.0
