,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.675,0.6866666666666668,0.63,0.6507936507936507,42.0,4.0,5.0
C2(元気が出る),0.6599999999999999,1.0,0.32,0.4685980685980686,100.0,10.0,5.0
C3(切ない),0.7692118226600985,0.7437494136410545,0.8448275862068966,0.785553367505614,282.0,28.0,5.0
C4(激しい),0.7366666666666666,0.95,0.5133333333333333,0.6499267399267399,98.0,10.0,5.0
C5(滑稽な),0.6845833333333333,0.7551460304401479,0.5700000000000001,0.6436365065330583,158.0,16.0,5.0
C6(かわいい),0.6870833333333334,1.0,0.37416666666666665,0.5254722483959259,154.0,15.0,5.0
Valence,0.6772727272727272,0.8541666666666667,0.4742424242424242,0.5575048480930833,112.0,11.0,5.0
Arousal,0.569047619047619,1.0,0.1380952380952381,0.23851108633717324,216.0,22.0,5.0
平均,0.6823581877892223,0.8737160971768171,0.48308315606806984,0.5649995645229142,145.25,14.5,5.0
