,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.765,0.8333333333333333,0.67,0.7309523809523809,42.0,4.0,5.0
C2(元気が出る),0.61,1.0,0.22000000000000006,0.34965034965034963,100.0,10.0,5.0
C3(切ない),0.5674876847290641,0.7667307692307692,0.22044334975369456,0.3126134445928638,282.0,28.0,5.0
C4(激しい),0.8288888888888891,0.8047474747474748,0.8800000000000001,0.8384142173615858,98.0,10.0,5.0
C5(滑稽な),0.5445833333333333,0.7833333333333333,0.13916666666666666,0.2336085311317509,158.0,16.0,5.0
C6(かわいい),0.7658333333333334,0.94,0.6066666666666667,0.7128178584700324,154.0,15.0,5.0
Valence,0.5871212121212122,0.7133333333333334,0.26515151515151514,0.3805591467356174,112.0,11.0,5.0
Arousal,0.6350649350649351,1.0,0.2701298701298701,0.4156419446742027,216.0,22.0,5.0
平均,0.6629974234338458,0.8551847804972805,0.40894475854605167,0.4967822341960979,145.25,14.5,5.0
