,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.735,0.92,0.5700000000000001,0.6680952380952381,42.0,4.0,5.0
C2(元気が出る),0.61,1.0,0.22000000000000006,0.34965034965034963,100.0,10.0,5.0
C3(切ない),0.7516009852216748,0.784014053579271,0.7386699507389163,0.7493672253308912,282.0,28.0,5.0
C4(激しい),0.7666666666666667,0.8353174603174602,0.6755555555555555,0.7442724458204334,98.0,10.0,5.0
C5(滑稽な),0.6329166666666667,0.7761904761904763,0.36666666666666653,0.4850517598343686,158.0,16.0,5.0
C6(かわいい),0.7,0.9411764705882352,0.4625,0.5780718105423988,154.0,15.0,5.0
Valence,0.5431818181818182,0.7333333333333333,0.3409090909090909,0.35714285714285715,112.0,11.0,5.0
Arousal,0.6350649350649351,1.0,0.2701298701298701,0.4156419446742027,216.0,22.0,5.0
平均,0.6718038839752201,0.873753974251097,0.45555389175001243,0.5434117038863424,145.25,14.5,5.0
