,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.595,0.8,0.19,0.30666666666666664,42.0,4.0,5.0
C2(元気が出る),0.75,0.7422222222222222,0.78,0.7582775119617227,100.0,10.0,5.0
C3(切ない),0.666871921182266,0.6867128523650263,0.6179802955665025,0.6467728087403544,282.0,28.0,5.0
C4(激しい),0.5800000000000001,0.7266666666666667,0.24222222222222226,0.3377272727272728,98.0,10.0,5.0
C5(滑稽な),0.5383333333333333,0.92,0.10166666666666667,0.17478991596638654,158.0,16.0,5.0
C6(かわいい),0.74,0.7769282891022022,0.7108333333333333,0.7290774364678704,154.0,15.0,5.0
Valence,0.5795454545454545,0.75,0.25,0.368024132730015,112.0,11.0,5.0
Arousal,0.633982683982684,0.7996825396825397,0.3324675324675325,0.4287256154698016,216.0,22.0,5.0
平均,0.6354666741304672,0.7752765712548321,0.40314625628203216,0.46875767009126124,145.25,14.5,5.0
