動画ID,aa,ccc,gj,gumi,intro,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うぽつ,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ここ,こと,これ,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,みたい,もきゅもきゅ,やばい,よい,よさげ,りんり,アブ,カラオケ,コピー,コメ,サビ,タグ,ダイヤ,ネギ,ハート,マイリス,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,久々,久しぶり,乖離,今日,共感,再生,初見,動画,可愛い,大好き,好き,好きだ,小説,弾幕,忍者,愛愛愛,感じ,支援,最高,期待,歌詞,殿堂入り,画質,神曲,素敵,綺麗,職人,脚気,良い,調教,配信,鳥肌
sm2533949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1654617075823388,0.0,0.12547708153626394,0.0,0.0,0.0,0.0,0.0,0.0,0.3164164963885679,0.13562272268925354,0.0,0.0,0.0,0.0,0.0,0.1695561856068461,0.0,0.0,0.0,0.0,0.0,0.15177670894828102,0.0,0.3650154810313001,0.7450640222749363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28863945581754047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07399104725953387,0.09713611362245551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2553659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531146816029054,0.13303093373123637,0.10985252883047517,0.0,0.0,0.10341787990806563,0.0,0.0,0.0,0.0,0.0,0.0,0.10477093325489281,0.0,0.0,0.17490353215361626,0.0,0.0,0.0,0.0,0.1333266855179897,0.0,0.0,0.0,0.0,0.21742926008325195,0.0,0.0,0.10408935768749437,0.10341787990806563,0.0,0.0,0.0,0.0,0.08850213419923388,0.0,0.0,0.0,0.0,0.0,0.0,0.09633604821355804,0.0,0.0,0.0,0.0,0.08526333375279052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06477759565937867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7041257530999597,0.0,0.09928019478007308,0.09989268952154776,0.0,0.0,0.07117613661499991,0.0,0.0,0.0
sm2577615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2205428938451582,0.0,0.0,0.0,0.10660590463695102,0.0,0.0,0.0,0.374526363368462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3861516924777314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24001995769183965,0.20599670469880474,0.0,0.22980829000436437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259094587674288,0.0,0.0,0.0,0.0,0.19753537930717838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19539484702292717,0.18157068577445573,0.0,0.37550500657633157,0.0,0.0,0.0,0.0,0.0,0.0,0.19226752786050907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37747676771993305,0.0,0.0,0.0,0.0
sm2653480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41903671046063484,0.0,0.0,0.0,0.026378060839605116,0.0,0.014313681023646841,0.0,0.03256413125062991,0.0,0.17600317932301154,0.0,0.0,0.19402990566838102,0.361093985296308,0.04105860684719501,0.0,0.0,0.031057768611120258,0.02567813200116891,0.0,0.01728250785510992,0.04400365241888221,0.0,0.03245075002702805,0.0,0.019761346109379747,0.027737876118545647,0.0,0.0,0.5052253107275655,0.0,0.0553172196797634,0.0,0.0,0.0,0.03055824657128934,0.0276586098398817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11236266824515243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031159940930595882,0.0,0.0,0.02623512762707738,0.0,0.019202344721690617,0.025209011195112648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828518012381941,0.0,0.02567813200116891,0.0,0.0
sm2584252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002073384633013607,0.0,0.0,0.0,0.0007516736561163775,0.0,0.0,0.0,0.0,0.0,0.0007213828315813945,0.0005660752439444385,0.0,0.0,0.0,0.000489757932650117,0.002718297555577509,0.0,0.0,0.0009075796676514653,0.0,0.0,0.0,0.0,0.0010377542475118048,0.0004855455122616725,0.0,0.0,0.0,0.0005641234718768994,0.00048415797322607816,0.0008622494761841983,0.0,0.0005366384767675529,0.0,0.0,0.0,0.0009110728274871705,0.0,0.0006471773069684064,0.0,0.0,0.0,0.0,0.0005089374162462629,0.0,0.0006089549375347729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006471773069684064,0.0,0.9999742491174035,0.0,0.0,0.0,0.0010463911007082087,0.0014200285917609005,0.0,0.0,0.0,0.0004412782796357439,0.0009995376340444133,0.0015165403416794903,0.0,0.0,0.00044593560379244465,0.0,0.0,0.004166755859681919,0.0,0.0,0.0006089549375347729,0.0,0.0,0.0025917307912670085,0.0007538740207069516,0.0,0.0,0.0,0.0,0.0005720296679184076
sm2678744,0.0,0.0,0.0,0.0,0.0028229220741586977,0.0016207396211568045,0.0,0.0,0.0,0.0011827962298759569,0.0,0.013697238112913552,0.0,0.02001087904535737,0.002362762795172962,0.003902182158635287,0.00152981873909546,0.011047447486148157,0.001224536840913053,0.009876591693475132,0.00387512275553284,0.0,0.06150101236557855,0.008435398118987901,0.006705370460261528,0.0,0.011282436552652842,0.006122684204565265,0.042109820062118775,0.0008788313029765899,0.0033049073447416998,0.0025923970726196466,0.0,0.005525369834844774,0.013295394798057867,0.011013492157350296,0.0,0.001261281148598851,0.019308808556684806,0.004419133556045269,0.027545522982393857,0.007394925520535973,0.018368052613695795,0.0024412104154701722,0.005523916945056587,0.0,0.009355255551741742,0.003143773318194103,0.0,0.0,0.0,0.0027791065596298407,0.0,0.0011613267458319006,0.0,0.009726872958704443,0.0,0.002574121637689489,0.0,0.004038299506900432,0.008475234829400135,0.0,0.0,0.005579787794470148,0.0,0.029921101154606396,0.0028229220741586977,0.15934908371800754,0.005907086348033002,0.014520929619063028,0.0,0.016107194738614772,0.0,0.03484989265822102,0.0023877237810806125,0.006480628583456217,0.01467094215157248,0.000973783914982093,0.010738140579720888,0.0030208130831220303,0.0,0.005190811690311757,0.9804093297824594,0.0,0.0,0.0031930500778199725,0.0020623045532416574,0.0,0.002235123486753843,0.03710221860946106,0.0,0.003045787853038995,0.0,0.0011827962298759569,0.0017202391399951302,0.0010122250822517287,0.0016855460884792393,0.0,0.0016207396211568045,0.0
sm2758851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060471026758896325,0.0,0.37188912126283025,0.09040377256797116,0.0,0.0,0.038426930157383916,0.0,0.06298284583255406,0.0,0.0,0.7059435097704009,0.053792380585644714,0.04276002562987568,0.0,0.07848861050618473,0.04685309515333795,0.2245116629620573,0.016812873768416822,0.0,0.024797503566351936,0.0,0.060403170985584544,0.08478449113191827,0.060199576663044624,0.0,0.0,0.024626384288810872,0.06340665244164316,0.09410212485349112,0.0,0.023426547576668975,0.0467026634331637,0.04227110162776211,0.0,0.059658294726181525,0.08019114138863319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053166936154617504,0.0,0.0,0.0,0.019314121953387404,0.020267406961633604,0.0,0.0,0.0,0.0,0.42931421680751325,0.02700258418774817,0.02721873783428562,0.05650407351913745,0.0,0.0,0.0,0.0,0.0,0.0,0.06199027614549234,0.10023892673579148,0.018629407014584667,0.04402088192000274,0.05779101048459766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06414003844481353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06449218074155255,0.13735506838582326,0.0,0.0
sm2827322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2552324022008656,0.0,0.0,0.0,0.2241697205600975,0.0,0.0,0.0,0.0,0.27454905308733774,0.15690328208314175,0.0,0.0,0.0,0.0,0.1540853114103833,0.19616124416089864,0.0,0.0,0.0,0.0,0.12365101510210066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1362237754661344,0.12329765871034687,0.0,0.0,0.11695200268964835,0.0,0.0,0.0,0.0,0.0,0.0,0.12730420426267713,0.0,0.0,0.0,0.0,0.0,0.7093992056808872,0.0,0.0,0.1556809185406054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339040053792967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09405639531920246,0.2289380105600349,0.0,0.0
sm3032672,0.0,0.0,0.0,0.0,0.02057525167559391,0.0,0.019800051706198436,0.0,0.0,0.0,0.0,0.0,0.0,0.01666880171040203,0.0,0.03792211422006105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010063054221320632,0.012810963083012064,0.0,0.0,0.0,0.0,0.0,0.0,0.02967471941786482,0.0,0.0,0.0,0.0,0.0,0.0,0.01779309430861613,0.0,0.0,0.0,0.0,0.02152730133658859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015443225587145962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04305460267317718,0.08467021720813157,0.0,0.213453601254695,0.0,0.16329097603882795,0.0,0.03148996220176055,0.0,0.014195113150172873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9541921798615397,0.0,0.019800051706198436,0.0,0.0,0.0,0.0,0.0,0.0,0.025076394117719628,0.0,0.03685599609575716,0.0,0.0,0.0
sm3045725,0.0,0.0,0.0,0.0,0.2293264315618315,0.17555257710353633,0.07356208442573316,0.0,0.0,0.0,0.0,0.11412574180206583,0.0,0.30964358499946193,0.0853086028054509,0.07044501219623404,0.0,0.0,0.0,0.0,0.0,0.05207625531786732,0.0,0.0,0.0,0.0,0.055548735757041307,0.0,0.29909386306411695,0.14278767983102753,0.0,0.1403994759655511,0.0,0.08549825923345218,0.06000451866594107,0.08521007965805984,0.0,0.0,0.06971531307221784,0.1794991328807818,0.15983732775345666,0.0,0.2652746874011435,0.1322114836008938,0.11966608858718786,0.0,0.11259188912763224,0.22701467101149497,0.0,0.0,0.0,0.15051131971467968,0.0,0.0628953289068538,0.12355462661790655,0.07525565985733984,0.0,0.0,0.0,0.10935345139620709,0.0,0.0,0.0,0.0,0.0,0.24307080308730947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33703684615374147,0.06465737273716395,0.05849649517137074,0.0,0.05273835278212716,0.2076992930818045,0.054533900733505974,0.0,0.0,0.0,0.0,0.0,0.0,0.05584531814486056,0.0,0.12105019311004939,0.0,0.07525565985733984,0.0,0.0,0.0,0.18633000040127898,0.0,0.04564304404555054,0.16664620727112392,0.17555257710353633,0.0
