動画ID,aa,ccc,gj,gumi,intro,joy,ktkr,meiko,mirai,wktk,wr,www,yyy,いい,いいね,うい,うぽつ,ええ,おおい,お前,かっこ,かっこいい,かわいい,かわゆい,きた,きれい,ここ,こと,これ,さん,すき,すぎ,すこっぷ,すごい,そう,それ,たま,ちゃん,ちょ,っぽい,ない,なに,なん,ほしい,みたい,もきゅもきゅ,やばい,よい,よさげ,りんり,アブ,カラオケ,コピー,コメ,サビ,タグ,ダイヤ,ネギ,ハート,マイリス,ミク,ミリオン,リリン,リン,ルカ,レン,一番,中毒,久々,久しぶり,乖離,今日,共感,再生,初見,動画,可愛い,大好き,好き,好きだ,小説,弾幕,忍者,愛愛愛,感じ,支援,最高,期待,歌詞,殿堂入り,画質,神曲,素敵,綺麗,職人,脚気,良い,調教,配信,鳥肌
sm11774439,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,1,0,0,1,1,0,0,4,0,2,0,0,0,13,1,0,2,0,2,1,1,0,1,2,6,2,2,4,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,6,0,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0
sm11788815,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11849610,1,0,2,0,0,0,0,0,0,2,0,0,0,10,2,0,1,1,0,0,0,6,2,0,7,1,0,0,4,15,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,2,2,0
sm11879325,4,0,0,0,5,1,9,0,0,134,0,3,0,11,0,0,0,2,3,1,0,2,0,0,11,0,0,1,4,2,1,0,0,1,1,0,0,0,0,1,2,1,1,0,0,0,4,1,1,0,0,1,0,15,0,3,0,0,0,5,0,0,0,0,3,0,1,10,2,0,0,0,0,1,25,2,0,3,6,3,0,0,0,0,1,0,1,4,1,0,0,1,1,0,0,5,1,0,1,1
sm11964950,0,0,6,0,0,0,0,1,0,0,0,0,0,35,9,0,0,5,0,1,4,30,5,0,1,1,5,2,4,2,2,2,0,4,1,1,0,0,0,6,4,0,1,3,1,0,1,1,0,0,0,0,0,6,7,0,0,0,0,5,0,0,0,0,29,2,0,0,1,0,0,0,0,1,1,0,1,1,9,3,0,0,0,0,0,5,1,0,7,0,0,0,3,1,0,12,5,6,0,0
sm11970630,7,0,3,42,1,4,6,0,0,0,0,3,0,71,14,2,0,10,12,0,9,48,11,1,7,7,6,2,32,6,12,0,0,14,3,0,0,4,0,1,12,3,2,2,4,0,10,4,2,0,0,9,14,8,4,0,0,0,3,17,3,2,0,3,0,1,5,33,4,3,0,2,0,0,11,6,2,12,34,13,0,9,0,0,6,3,11,0,9,1,11,7,2,8,7,29,21,6,10,4
sm12041264,0,0,4,0,2,0,0,0,0,0,0,1,0,6,6,0,0,1,7,1,1,5,4,0,2,5,0,0,2,2,0,1,0,2,0,0,0,0,0,2,2,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,3,0,2,0,1,2,0,5,0,3,1,0,0,1
sm12090023,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
sm12183265,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1
sm12177762,0,0,6,0,3,3,2,0,0,36,0,0,0,19,4,0,1,1,1,0,1,1,5,0,6,1,2,0,18,3,5,0,0,3,2,1,0,0,1,0,2,0,1,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,3,2,0,0,0,4,16,1,1,8,8,1,0,0,0,0,2,7,9,2,2,9,0,3,1,1,42,1,4,0,7,1
sm12253877,0,0,2,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
sm12264707,0,0,1,41,14,6,7,0,0,158,0,2,0,65,37,1,0,3,4,0,1,19,1,0,14,12,2,2,35,26,11,1,0,7,1,0,0,1,0,5,17,1,0,0,1,0,3,2,12,0,0,5,1,4,0,2,767,0,5,10,3,0,0,0,0,0,0,13,4,5,0,4,0,3,66,4,1,28,40,16,0,19,0,0,6,3,5,15,1,28,8,6,7,12,40,22,16,37,2,2
sm12339479,0,0,0,0,2,1,1,0,0,2,0,0,0,10,2,0,0,0,0,0,0,5,0,0,0,0,3,0,2,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,3,0,0
sm12347529,0,0,0,0,8,0,0,0,0,68,0,1,0,14,4,2,2,0,0,0,0,0,19,1,1,1,1,1,2,3,2,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,5,0,0,1,0,1,0,1,0,0,0,4,7,0,0,0,0,0,0,3,1,1,0,1,0,0,11,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0
sm12355109,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,2,0,0,0,1,1,0,0,1,1,1,13,2,0,0,0,6,1,0,0,0,0,1,3,1,0,2,1,0,1,0,1,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,3,1,0,1,1,1,2,0,1,1,3,0,1
sm12365006,0,0,0,0,0,0,0,0,0,0,0,1,0,24,3,0,0,0,0,0,0,0,11,1,1,0,0,1,5,6,1,1,0,5,3,0,0,0,1,3,2,1,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,2,35,0,0
sm12377743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0
sm12396792,1,0,2,11,0,0,0,0,0,0,0,2,0,29,4,2,0,7,0,2,9,34,5,0,3,0,14,0,17,18,5,0,0,9,2,2,0,0,0,1,6,7,2,0,3,0,7,1,0,0,0,3,0,2,3,1,0,0,0,7,0,0,0,1,0,0,1,4,0,0,0,0,1,1,0,5,1,3,9,4,0,0,0,5,0,0,3,0,1,0,0,0,2,0,1,47,2,8,1,12
sm12412526,0,0,0,0,3,0,0,0,0,14,0,1,0,7,0,0,0,0,1,0,0,0,5,2,0,0,0,0,1,0,1,0,0,2,1,0,0,7,0,0,1,0,0,3,1,0,1,0,3,0,0,0,0,1,0,0,0,0,23,0,0,0,0,9,0,0,0,0,1,1,0,1,0,1,7,1,0,0,2,1,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,2,0,0,0
sm12468990,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,2,0,0,0,6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
