動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,多い,怖い,早い,欲しい,良い,重い,高い
sm2577615,0.1876779562880161,0.0,0.0,0.6593475538934856,0.0,0.0,0.5293309414625519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626538386555486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34398944114172225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2653480,0.034677027520474336,0.07889146570284035,0.0,0.42639395715135614,0.0,0.8748040455080335,0.0,0.09947059999732787,0.0,0.0,0.0,0.0,0.0,0.04787480884508268,0.13401421661012755,0.0,0.07403191083966591,0.0,0.0,0.0,0.07624368679472945,0.0,0.06355851029685242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2584252,0.3877768010871568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535361348825072,0.249769602208039,0.4448211546235403,0.0,0.0,0.47000836563268844,0.0,0.0,0.2861097711898679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2678744,0.26506453056307805,0.05168838808659187,0.07196734871096525,0.14633472498628167,0.01622024110775471,0.0,0.021359819963689658,0.814643721292105,0.11173546336740994,0.021804257364708795,0.01785896072890873,0.0,0.0,0.07318916665983807,0.05853593732057691,0.3648685848279441,0.03233632522167603,0.03709933403832812,0.123919914537456,0.04164248841318047,0.01665120232836816,0.0670526096255106,0.19433161259484216,0.019730610287813574,0.0,0.0657595447607138,0.0,0.022326779431952888,0.0,0.11686922696369255
sm2758851,0.44548733184796796,0.0,0.12451118680265427,0.04603175949000842,0.0,0.0,0.0,0.8456522996292296,0.06443808848044527,0.0,0.0,0.0,0.0,0.07235717836044739,0.07595505972780466,0.1127252778458623,0.055945290500524325,0.0,0.07146488837833784,0.0960612601244056,0.02880835546579402,0.0,0.120076575155507,0.03413605957811279,0.0,0.0,0.0328699251924262,0.07725541802903692,0.0,0.0
sm2827322,0.4575381254014988,0.0,0.0,0.40185412523025255,0.0,0.0,0.0,0.4921657986883573,0.2812700618519656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441992878821027,0.0,0.0,0.20965206459351055,0.0,0.0,0.4193041291870211,0.0,0.0,0.0,0.0,0.16860863442605736,0.0,0.0
sm3032672,0.2540889197776431,0.5780612911032892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33243380872908,0.0,0.0,0.0,0.27122694185969537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31871169885211925,0.5618100447770042,0.0,0.0
sm3045725,0.5742460850925741,0.130643018062384,0.0,0.0,0.0,0.09657744320011866,0.0,0.0,0.0,0.0,0.0,0.0,0.1502614229555119,0.15855985082696047,0.33288813115401633,0.29642454796614187,0.24519134430712092,0.14065351463713913,0.20880604242077977,0.4210075467481627,0.0,0.0,0.0,0.29921611854806623,0.0,0.0,0.0,0.08464680240319163,0.0,0.0
sm3060283,0.3301356613387186,0.0,0.0,0.0,0.0,0.0,0.0,0.7891581896806655,0.0,0.0,0.0,0.0,0.0,0.15192749407566977,0.0,0.0,0.0,0.0,0.0,0.2016986684548456,0.241954225055945,0.0,0.2016986684548456,0.0,0.0,0.0,0.0,0.3244245375752744,0.0,0.0
sm3197958,0.4178940274792576,0.0,0.0,0.0,0.0,0.7028195359144771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2691683069125882,0.0,0.29738701762049713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053323716539174,0.0,0.3582698468887647
sm3279352,0.33121857073896127,0.0,0.0,0.2909081049530474,0.0,0.0,0.0,0.23752403476775275,0.0,0.0,0.0,0.0,0.0,0.0,0.3200101079749413,0.0,0.0,0.0,0.0,0.6070808383559241,0.0,0.0,0.30354041917796204,0.4314610830632535,0.0,0.0,0.0,0.0,0.0,0.0
sm3372198,0.3346058477257466,0.0,0.0,0.0,0.0,0.2813722034165134,0.47186476211339234,0.0,0.0,0.48168293234435355,0.3945264646548671,0.0,0.0,0.0,0.3232827592392223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30664463967546246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm3425798,0.3583432310869495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9335899146489134,0.0,0.0,0.0,0.0,0.0,0.0
sm3534601,0.8990869862989215,0.0,0.09286794067965226,0.0,0.0,0.0,0.0,0.22426254465397957,0.09612361318179333,0.0,0.0,0.0,0.10228768030110874,0.10793668135820546,0.0,0.13452368012752658,0.0,0.0,0.0,0.0,0.0,0.0,0.1432965444460091,0.0,0.0,0.0,0.09806547801212577,0.230486971104813,0.0,0.0
sm3636268,0.45881685695721336,0.0,0.0,0.0,0.0,0.0,0.0,0.8774067697214568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14015866801187316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm3671490,0.13255543947777912,0.0,0.0,0.033263707418049855,0.04055769332672567,0.0,0.0,0.896264784207255,0.046564583790397886,0.0,0.0,0.0,0.0,0.07843067603466258,0.0,0.0,0.0,0.0,0.0,0.03470814157865273,0.04163528476974036,0.08383041780581028,0.38178955736518,0.0,0.0,0.0,0.047505269690652496,0.08374006284730919,0.05540175143818973,0.0
sm3671912,0.08640769497927613,0.0,0.0,0.15178314877515012,0.0,0.0,0.0,0.2478593431602503,0.0,0.0,0.0,0.0,0.0,0.47717491096197284,0.3339346068487979,0.7433909895063853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12736935040396366,0.0,0.0
sm3698889,0.11493115194281288,0.0,0.0,0.30283087875019526,0.0,0.09664634280346751,0.0,0.08241962662014285,0.0,0.0,0.13551281713365088,0.7563564551474516,0.0,0.0,0.0,0.09887867369725331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527953573523419,0.0,0.0,0.0,0.0,0.0
sm3950088,0.7550646123809652,0.0,0.0,0.0,0.0,0.0,0.0,0.5414732418020777,0.0,0.0,0.0,0.0,0.0,0.1303044716061735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34598396526684194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm3971759,0.5140208288708041,0.0,0.3052900612331847,0.0,0.0,0.0,0.0,0.7372310130779526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3147554596115303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
