,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.7,0.9,0.4400000000000001,0.5752380952380952,42.0,4.0,5.0
C2(元気が出る),0.5900000000000001,1.0,0.18,0.2983682983682984,100.0,10.0,5.0
C3(切ない),0.549384236453202,0.746984126984127,0.1842364532019704,0.2847984826932195,282.0,28.0,5.0
C4(激しい),0.6111111111111109,0.8666666666666666,0.2644444444444445,0.3902097902097902,98.0,10.0,5.0
C5(滑稽な),0.5445833333333333,0.85,0.13916666666666666,0.22957813428401666,158.0,16.0,5.0
C6(かわいい),0.79125,0.9346153846153846,0.6458333333333334,0.7349494425719472,154.0,15.0,5.0
Valence,0.5969696969696969,0.8666666666666668,0.2303030303030303,0.34328808446455505,112.0,11.0,5.0
Arousal,0.5839826839826839,1.0,0.16796536796536796,0.2769297658862876,216.0,22.0,5.0
平均,0.6209101327312533,0.8956166056166057,0.2814936619893517,0.39167001171452626,145.25,14.5,5.0
