動画ID,あおい,あぶない,あらい,あわい,いい,うい,うまい,うるさい,うれしい,ええ,おいしい,おおい,おかしい,おもい,おもしろい,おもたい,おもろい,かっこいい,かっこいー,かっこよい,からい,かるい,かわいい,かわゆい,くい,くさい,こい,こわい,すい,すごい,すっごい,すばらしい,せつない,っぽい,つらい,でかい,とおい,ない,なつかしい,なるい,はやい,ひどい,ほしい,ぽい,まるい,やすい,やばい,ゆるい,よい,わるい,わろい,イイ,カッコイイ,上手い,丸い,低い,優しい,凄い,切ない,危ない,可愛い,多い,大きい,大人っぽい,嬉しい,弱い,強い,怖い,恋しい,悪い,悲しい,憎い,懐かしい,新しい,早い,明るい,格好いい,楽しい,欲しい,汚い,深い,激しい,無い,熱い,珍しい,痛い,眩しい,短い,素晴らしい,美しい,美味しい,良い,赤い,軽い,近い,酷い,重い,長い,面白い,高い
sm10242501,0.0,0.0,0.0,0.0,0.6674881717831649,0.0,0.0,0.0,0.0,0.06239222407841332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430675908688007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21128442546450665,0.0,0.09773689202295222,0.0,0.0,0.0,0.2033129798924337,0.0,0.0,0.0,0.060795948341667586,0.11168936968414735,0.0,0.0,0.0,0.0,0.083162385583355,0.0,0.0,0.11988969905786759,0.0,0.06566363335093311,0.0,0.0,0.0,0.09690291310002849,0.0,0.0,0.0,0.0,0.08279794768322404,0.0,0.0,0.0,0.0,0.0,0.1452935015707002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2845817849942403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10393864,0.0,0.0,0.0,0.0,0.28915037304471525,0.10131127063811773,0.11908126352292542,0.0,0.0,0.0,0.3143338191753447,0.0,0.0,0.02132196613142348,0.0,0.0,0.0,0.010455662362356654,0.0,0.0,0.0,0.0,0.11594027748102355,0.04529867241819825,0.035646899257089804,0.0,0.029386007299975606,0.0,0.0,0.01881725148987907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09364019058369069,0.08601406959407396,0.0,0.0,0.0,0.014637214089553504,0.0,0.0,0.0,0.034623486150265885,0.0,0.025284395215136424,0.0,0.0,0.02927442817910701,0.0,0.0,0.0,0.0,0.0,0.0,0.2150351739851849,0.0,0.14961629427788375,0.01950092522376674,0.0,0.0,0.02132196613142348,0.7832526742435267,0.0,0.0,0.0,0.0,0.02461211958947271,0.0,0.0,0.0,0.02049175956403914,0.0,0.0,0.0,0.0,0.0,0.05594661958882334,0.0,0.043769768653056595,0.0,0.0,0.02604923214261013,0.03001291429635058,0.0,0.0,0.0,0.22860641394570524,0.1095808738509457,0.0,0.0,0.0,0.0,0.018545645720856645,0.0,0.0,0.01763281915670557
sm10443985,0.0,0.0,0.0,0.10077563562488417,0.05048121166714332,0.0,0.0668242242358621,0.0,0.0,0.37749104217647594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07006635261962418,0.0,0.0,0.0,0.05771638451680271,0.8788532651362324,0.0,0.11087559920467392,0.0,0.0,0.0,0.0,0.10077563562488417,0.0,0.0,0.09195827780862674,0.08446913294258118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111024696525251,0.0,0.0,0.0,0.0,0.0,0.0,0.04520891384890584,0.0,0.0,0.0,0.0,0.0,0.0,0.07764760700838556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08375597156382,0.0
sm10445286,0.0,0.0,0.0,0.0,0.10325864777569053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8401111428552903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023927534514331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2998124669536371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26685606594599554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17609618592398674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10446457,0.0,0.0,0.12668600457250367,0.0,0.11523562751989165,0.03385545609599799,0.0,0.0,0.0,0.06556527146269134,0.0,0.010340957788031397,0.0,0.0,0.0,0.01919096036929107,0.0,0.0,0.0,0.0,0.0,0.0,0.9248904945131359,0.09418937137847871,0.0,0.0,0.04582666677328719,0.01585925732165538,0.0,0.0,0.0,0.0,0.0,0.05086970415760425,0.0,0.0,0.0,0.018253661371297712,0.016767070739077718,0.0,0.0,0.0,0.0,0.012484532823936986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02282633110799607,0.0,0.0,0.0,0.020311529036821336,0.0,0.0,0.0,0.0,0.3051140105809943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008544417313026865,0.0,0.0,0.0,0.021386829991544478,0.0,0.0,0.0,0.013748947237358304
sm10446708,0.0,0.0,0.0,0.0,0.7232725873622983,0.0,0.0,0.0,0.0,0.0,0.0,0.3732018983426858,0.0,0.0,0.0,0.0,0.0,0.4903781047672318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17650853294110047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1097948116462578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1079555707013656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2055768802605138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10453745,0.0,0.0,0.0,0.0,0.06645559440645381,0.7484280059505888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21627277353936933,0.0,0.0,0.0,0.0,0.4611914965444422,0.3123305880268466,0.0,0.0,0.0,0.0,0.0,0.09730754085833677,0.0,0.19412561175534268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13075035542775934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11902983874908302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm10533832,0.0,0.0,0.0,0.0,0.6421506033270575,0.049875513048824316,0.0,0.08594215225602021,0.0,0.1448851350480133,0.0,0.1599590335789427,0.0,0.0,0.0,0.042407890988264876,0.0,0.252218677585011,0.0,0.0,0.0,0.0,0.07683492039656432,0.0,0.0,0.0,0.07595030100683133,0.07009108900332202,0.21155398372579842,0.2593843888920102,0.0,0.0646830049465961,0.0,0.0,0.0,0.0,0.08840863155171531,0.1411783169451419,0.07410323344038051,0.0,0.09122859324096377,0.0,0.12610319424646074,0.05517625974405495,0.0,0.0,0.41760577128251397,0.0,0.06534938236971347,0.0,0.0,0.1008825553971686,0.0,0.0,0.0,0.0,0.0,0.02746723194385267,0.0,0.0,0.0,0.06720210407343646,0.0,0.0,0.0367387949692737,0.0,0.0,0.06811883285389735,0.0,0.036141457082933905,0.0,0.0,0.06765513816463105,0.0,0.03530830827431892,0.0,0.0,0.0,0.08583823950494206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1445981604343148,0.06765513816463105,0.03405941642694867,0.0,0.07552529128222507,0.0,0.0,0.0,0.0,0.0319550585303295,0.12722367296479462,0.0,0.0911466405680721
sm10543519,0.0,0.0,0.0,0.0,0.1411695275915258,0.0,0.031145396658492013,0.0,0.04295975183764156,0.04398520288883606,0.0,0.0,0.04081567701938035,0.0,0.0,0.0,0.0,0.019142560246526056,0.0,0.0,0.0,0.0,0.048984729034403866,0.027644751580570382,0.0,0.0,0.0,0.0,0.0,0.13780489760874515,0.0,0.0,0.0,0.023888560908015964,0.0,0.9131813631888821,0.046969451287161415,0.02142993107014955,0.0,0.0,0.0,0.0,0.02679827856333185,0.0,0.0,0.0,0.0,0.0,0.02314573873604078,0.0,0.0,0.02679827856333185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30728656845049546,0.0,0.03903693588219173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07188720514220329,0.0,0.0,0.0,0.0,0.0,0.06080514897303366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594360257110164,0.0,0.0,0.0,0.0,0.0,0.05231748955777756,0.0,0.033953959894532086,0.04506065380730151,0.0,0.0
sm10565041,0.0,0.0,0.0,0.0,0.5345738200278443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4349286307328919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5427601612374807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4800826225589857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
