,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.62,0.8,0.24,0.36,42.0,4.0,5.0
C2(元気が出る),0.61,1.0,0.22000000000000006,0.34965034965034963,100.0,10.0,5.0
C3(切ない),0.7479064039408867,0.7479184952978056,0.8019704433497538,0.7652276505264605,282.0,28.0,5.0
C4(激しい),0.6022222222222222,0.8,0.2844444444444445,0.4100899100899101,98.0,10.0,5.0
C5(滑稽な),0.5891666666666666,0.7607142857142858,0.2783333333333333,0.4014569031273837,158.0,16.0,5.0
C6(かわいい),0.6545833333333333,0.9314285714285712,0.3475,0.48517631244781606,154.0,15.0,5.0
Valence,0.5704545454545454,0.9,0.15909090909090912,0.2671794871794872,112.0,11.0,5.0
Arousal,0.5839826839826839,1.0,0.16796536796536796,0.2769297658862876,216.0,22.0,5.0
平均,0.6222894819500422,0.8675076690550829,0.3124130622729761,0.41446379736346184,145.25,14.5,5.0
