,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.745,0.8333333333333333,0.63,0.7047619047619047,42.0,4.0,5.0
C2(元気が出る),0.5900000000000001,1.0,0.18,0.2983682983682984,100.0,10.0,5.0
C3(切ない),0.7300492610837439,0.7402210410362584,0.7450738916256157,0.7374903337403338,282.0,28.0,5.0
C4(激しい),0.6533333333333333,0.8057142857142857,0.4311111111111112,0.548288084464555,98.0,10.0,5.0
C5(滑稽な),0.5508333333333333,0.85,0.15166666666666667,0.25049316696375523,158.0,16.0,5.0
C6(かわいい),0.7908333333333333,0.931818181818182,0.6449999999999999,0.7439289695811435,154.0,15.0,5.0
Valence,0.5969696969696969,0.8666666666666668,0.2303030303030303,0.34328808446455505,112.0,11.0,5.0
Arousal,0.5839826839826839,1.0,0.16796536796536796,0.2769297658862876,216.0,22.0,5.0
平均,0.6551252052545156,0.8784691885710908,0.397640008458974,0.48794357602885424,145.25,14.5,5.0
