,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.62,0.8,0.24,0.36,42.0,4.0,5.0
C2(元気が出る),0.61,1.0,0.22000000000000006,0.34965034965034963,100.0,10.0,5.0
C3(切ない),0.5884236453201971,0.7853030303030303,0.24064039408867,0.36578259373925015,282.0,28.0,5.0
C4(激しい),0.7777777777777778,0.7898989898989899,0.7577777777777778,0.7646825396825396,98.0,10.0,5.0
C5(滑稽な),0.5641666666666667,0.6976190476190476,0.3283333333333333,0.40463142151929343,158.0,16.0,5.0
C6(かわいい),0.8770833333333334,0.9330827067669172,0.8300000000000001,0.8729855585027998,154.0,15.0,5.0
Valence,0.5704545454545454,0.9,0.15909090909090912,0.2671794871794872,112.0,11.0,5.0
Arousal,0.5792207792207792,1.0,0.15844155844155844,0.2658186547751765,216.0,22.0,5.0
平均,0.6483908434716623,0.8632379718234982,0.36678549659153115,0.45634132563111207,145.25,14.5,5.0
