,正解率,適合率,再現率,F値,データ数,テストサイズ,分割数
C1(堂々),0.595,0.8,0.29,0.3980952380952381,42.0,4.0,5.0
C2(元気が出る),0.66,1.0,0.31999999999999995,0.4666666666666667,100.0,10.0,5.0
C3(切ない),0.7374384236453203,0.7471066252587991,0.7453201970443349,0.7399952447822631,282.0,28.0,5.0
C4(激しい),0.8566666666666667,0.8176767676767677,0.92,0.8625199362041466,98.0,10.0,5.0
C5(滑稽な),0.5316666666666666,0.8,0.08833333333333332,0.15833333333333335,158.0,16.0,5.0
C6(かわいい),0.6675000000000001,1.0,0.335,0.487979306555158,154.0,15.0,5.0
Valence,0.5962121212121212,0.8047619047619048,0.3924242424242425,0.43316903684550745,112.0,11.0,5.0
Arousal,0.6396103896103896,1.0,0.2792207792207792,0.4281775572098153,216.0,22.0,5.0
平均,0.6605117834751455,0.8711931622121839,0.4212873190028362,0.49686703996151604,145.25,14.5,5.0
