動画ID,ccc,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,ここ,これ,さん,すごい,ない,やばい,ダイヤ,ハート,ミク,リン,レン,中毒,乖離,可愛い,大好き,好き,愛愛愛,最高
sm15568640,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15572522,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15652860,0,0,0,0,0,0,7,1,0,2,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sm15583068,0,0,5,0,2,0,3,2,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sm15676851,0,25,0,0,10,0,40,4,6,9,177,2,12,9,2,4,17,6,0,14,0,0,0,0,0,42,11,17,0,7
sm15686024,0,0,0,0,0,0,4,6,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
sm15686051,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
sm15696369,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15714327,0,0,23,0,1,0,1,0,0,6,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm15719556,0,0,0,0,0,0,33,34,3,5,54,0,0,13,5,1,5,2,0,0,1,0,2,2,0,14,3,17,0,0
sm15741427,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15719565,0,0,0,0,0,0,3,3,0,1,1,0,0,3,1,0,0,1,0,0,4,0,0,0,0,0,0,2,0,1
sm15751190,0,0,0,0,46,0,53,4,1,3,2,11,4,8,14,1,28,2,0,0,10,0,0,0,0,5,9,19,0,7
sm15789837,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm15800552,0,1,0,0,1,0,12,1,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm15825105,0,0,0,0,8,0,2,0,0,0,0,0,0,7,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
sm15815944,0,0,32,0,1,0,1,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15841119,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm15844332,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15853580,0,1,10,0,0,0,2,1,0,5,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sm15922203,0,0,14,0,0,0,8,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm15875228,0,0,0,0,0,0,8,5,0,1,1,0,0,11,1,5,1,6,0,0,0,0,0,0,0,0,0,1,0,0
sm15933955,0,0,6,0,0,0,5,2,1,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
sm15942116,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
sm15955450,0,0,0,0,3,0,4,2,0,6,3,0,0,2,1,1,0,1,0,0,0,15,13,0,0,1,0,1,0,2
sm15970184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm15980251,0,0,0,0,1,0,6,0,2,0,7,0,0,5,3,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0
sm15987636,0,0,0,0,0,0,3,0,0,10,0,0,0,1,1,3,1,1,0,0,0,3,2,1,0,0,0,2,0,2
sm16007598,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
sm16011363,0,0,0,20,3,160,41,17,7,75,0,2,6,10,4,2,6,11,0,0,0,0,45,2,0,0,8,11,0,12
sm16065869,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16069888,0,0,1,0,0,0,1,1,0,0,3,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0
sm16049992,0,6,0,0,0,0,18,7,27,0,35,0,2,8,1,3,1,6,0,0,0,0,0,0,0,2,0,4,0,1
sm16070272,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sm16076097,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm16079453,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
sm16085344,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
